dataset;strategy;length_or_k;method;accuracy;f1_score;train_size;test_size;status;grid_search_time;rf_max_depth;rf_max_features;rf_min_samples_leaf;rf_min_samples_split;rf_n_estimators
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;BERT;0.691798942;0.620958013;45155;10584;Success;2.995.202.479;10;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;ACF;0.670445956;0.5489311;45155;10584;Success;1.805.010.815;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;OHE;0.69443551;0.620650135;40515;9327;Success;5.241.692.114;20;log2;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;Bigram;0.675565562;0.557244228;40515;9327;Success;2.905.342.865;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;W2V;0.675351131;0.595140718;40515;9327;Success;2.890.335.178;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;D2V;0.672777956;0.552980581;40515;9327;Success;5.321.792.989;20;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;BERT;0.682534577;0.58042499;40515;9327;Success;5.457.957.551;10;log2;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;ACF;0.668596548;0.548983341;40515;9327;Success;1.748.040.342;20;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;OHE;0.690954774;0.607708922;36996;8358;Success;6.518.569.851;20;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;Bigram;0.67205073;0.551613808;36996;8358;Success;3.004.560.709;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;W2V;0.677315147;0.598718342;36996;8358;Success;2.454.752.827;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;D2V;0.669897105;0.548236831;36996;8358;Success;4.688.195.555;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;BERT;0.673965063;0.566602669;36996;8358;Success;5.015.599.759;10;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;ACF;0.668341709;0.548045548;36996;8358;Success;1.599.695.249;10;log2;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;OHE;0.692675159;0.609848429;34110;7536;Success;6.284.086.895;20;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;Bigram;0.675159236;0.556969404;34110;7536;Success;2.901.630.235;10;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;W2V;0.680599788;0.604150082;34110;7536;Success;2.161.288.428;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;D2V;0.670514862;0.547421221;34110;7536;Success;4.029.497.807;10;log2;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;BERT;0.676220807;0.573066141;34110;7536;Success;4.472.964.058;10;log2;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;ACF;0.667860934;0.557348538;34110;7536;Success;1.551.207.464;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;OHE;0.687290238;0.582854507;31627;6853;Success;6.350.264.359;20;log2;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;Bigram;0.67678389;0.559000162;31627;6853;Success;2.722.541.332;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;W2V;0.68262075;0.607614704;31627;6853;Success;1.998.256.469;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;D2V;0.674303225;0.555090368;31627;6853;Success;3.791.789.429;10;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;BERT;0.680140085;0.576826434;31627;6853;Success;4.307.661.586;10;log2;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;ACF;0.673135853;0.57116514;31627;6853;Success;1.599.052.279;10;log2;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;OHE;0.680462678;0.560693828;26548;5533;Success;7.266.667.366;10;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;Bigram;0.676667269;0.555172565;26548;5533;Success;2.792.732.477;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;W2V;0.677932406;0.60281336;26548;5533;Success;1.917.675.328;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;D2V;0.675221399;0.557912889;26548;5533;Success;304.560.739;10;log2;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;BERT;0.672691126;0.557824504;26548;5533;Success;3.405.827.858;10;log2;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;ACF;0.66907645;0.564224073;26548;5533;Success;1.641.656.928;10;log2;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;OHE;0.683188212;0.558508907;22605;4479;Success;6.555.554.628;10;sqrt;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;Bigram;0.682741683;0.562347908;22605;4479;Success;2.306.926.465;10;sqrt;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;W2V;0.682518419;0.567178876;22605;4479;Success;1.452.342.629;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;D2V;0.679392722;0.562019284;22605;4479;Success;2.456.113.963;10;log2;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;BERT;0.676490288;0.566546567;22605;4479;Success;2.623.468.716;10;log2;2;2;100
