dataset,strategy,length_or_k,method,n_train_traces,n_test_traces,n_features,train_matrix_bytes,test_matrix_bytes,encode_time_seconds,encode_time_per_trace_ms,pretrain_time_seconds
datasets/BPI_Challenge_2017.xes,last10,1200,OHE,100,21,174,12404,2536,0.0039,0.0321,
datasets/BPI_Challenge_2017.xes,last10,1200,Bigram,100,21,89,71200,14952,0.0034,0.028,
datasets/BPI_Challenge_2017.xes,last10,1200,W2V,100,21,48,19200,4032,0.0003,0.0029,0.0072
datasets/BPI_Challenge_2017.xes,last10,1200,D2V,100,21,64,25600,5376,0.05,0.413,13.4055
datasets/BPI_Challenge_2017.xes,last10,1200,BERT,100,21,128,51200,10752,0.1097,0.9066,8.8075
datasets/BPI_Challenge_2017.xes,last10,1200,ACF,100,21,8110,6488000,1362480,0.0049,0.0404,0.9794
datasets/BPI_Challenge_2017.xes,last20,1200,Baseline,100,21,20,4000,840,0.0616,0.5092,
datasets/BPI_Challenge_2017.xes,last20,1200,OHE,100,21,344,24404,4936,0.0099,0.0818,
datasets/BPI_Challenge_2017.xes,last20,1200,Bigram,100,21,105,84000,17640,0.0043,0.0358,
datasets/BPI_Challenge_2017.xes,last20,1200,W2V,100,21,48,19200,4032,0.0004,0.0033,0.0089
datasets/BPI_Challenge_2017.xes,last20,1200,D2V,100,21,64,25600,5376,0.0607,0.5019,1066.418
datasets/BPI_Challenge_2017.xes,last20,1200,BERT,100,21,128,51200,10752,0.1444,1.193,3.3477
datasets/BPI_Challenge_2017.xes,last20,1200,ACF,100,21,8110,6488000,1362480,0.0087,0.0721,904.9065
datasets/BPI_Challenge_2017.xes,last3,1400,Baseline,97,20,3,582,120,0.011,0.0938,
datasets/BPI_Challenge_2017.xes,last3,1400,OHE,97,20,49,3884,780,0.0044,0.0379,
datasets/BPI_Challenge_2017.xes,last3,1400,Bigram,97,20,57,44232,9120,0.0036,0.0307,
datasets/BPI_Challenge_2017.xes,last3,1400,W2V,97,20,48,18624,3840,0.0006,0.0049,0.0058
datasets/BPI_Challenge_2017.xes,last3,1400,D2V,97,20,64,24832,5120,0.0957,0.8183,619.7302
datasets/BPI_Challenge_2017.xes,last3,1400,BERT,97,20,128,49664,10240,0.1842,1.5742,12.8029
datasets/BPI_Challenge_2017.xes,last3,1400,ACF,97,20,8110,6293360,1297600,0.0069,0.0591,1.8676
datasets/BPI_Challenge_2017.xes,last5,1400,Baseline,97,20,5,970,200,0.0046,0.0391,
datasets/BPI_Challenge_2017.xes,last5,1400,OHE,97,20,81,6212,1248,0.0056,0.0479,
datasets/BPI_Challenge_2017.xes,last5,1400,Bigram,97,20,71,55096,11360,0.0027,0.0234,
datasets/BPI_Challenge_2017.xes,last5,1400,W2V,97,20,48,18624,3840,0.0004,0.0032,0.0087
datasets/BPI_Challenge_2017.xes,last5,1400,D2V,97,20,64,24832,5120,0.0438,0.3745,13.7489
datasets/BPI_Challenge_2017.xes,last5,1400,BERT,97,20,128,49664,10240,0.1276,1.0907,8.8831
datasets/BPI_Challenge_2017.xes,last5,1400,ACF,97,20,8110,6293360,1297600,0.0031,0.0269,0.8087
datasets/BPI_Challenge_2017.xes,last10,1400,Baseline,97,20,10,1940,400,0.0083,0.0707,
datasets/BPI_Challenge_2017.xes,last10,1400,OHE,97,20,164,12032,2424,0.005,0.0426,
datasets/BPI_Challenge_2017.xes,last10,1400,Bigram,97,20,88,68288,14080,0.0036,0.0305,
datasets/BPI_Challenge_2017.xes,last10,1400,W2V,97,20,48,18624,3840,0.0006,0.0055,0.0068
datasets/BPI_Challenge_2017.xes,last10,1400,D2V,97,20,64,24832,5120,0.0515,0.4401,910.7372
datasets/BPI_Challenge_2017.xes,last10,1400,BERT,97,20,128,49664,10240,0.1497,1.2795,1014.8196
datasets/BPI_Challenge_2017.xes,last10,1400,ACF,97,20,8110,6293360,1297600,0.0049,0.0415,1.1044
datasets/BPI_Challenge_2017.xes,last20,1400,Baseline,97,20,20,3880,800,0.0215,0.1841,
datasets/BPI_Challenge_2017.xes,last20,1400,OHE,97,20,333,23672,4776,0.0151,0.1288,
datasets/BPI_Challenge_2017.xes,last20,1400,Bigram,97,20,106,82256,16960,0.0093,0.0794,
datasets/BPI_Challenge_2017.xes,last20,1400,W2V,97,20,48,18624,3840,0.0007,0.0058,0.0079
datasets/BPI_Challenge_2017.xes,last20,1400,D2V,97,20,64,24832,5120,0.1171,1.0011,643.058
datasets/BPI_Challenge_2017.xes,last20,1400,BERT,97,20,128,49664,10240,0.2322,1.985,10.8539
datasets/BPI_Challenge_2017.xes,last20,1400,ACF,97,20,8110,6293360,1297600,0.0225,0.1927,1.9725
datasets/BPI_Challenge_2017.xes,last3,1500,Baseline,94,20,3,564,120,0.0046,0.0399,
