dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2017.xes,last_k,150,D2V,0.45454545454545453,0.398989898989899,116,22,Success,5.0207600593566895,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,150,BERT,0.8571428571428571,0.8766714766714766,116,22,Success,4.552358150482178,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,ACF,0.6190476190476191,0.5794475365903937,116,22,Success,8.290958881378174,20,log2,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,150,OHE,0.7142857142857143,0.6523053665910808,116,22,Success,4.213619232177734,,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,Bigram,0.5238095238095238,0.5038665038665039,116,22,Success,4.347863435745239,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,W2V,0.9047619047619048,0.8867724867724867,116,22,Success,4.238692760467529,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,D2V,0.4090909090909091,0.40173160173160166,116,22,Success,4.52864408493042,10,sqrt,2,2,200
datasets/BPI_Challenge_2017.xes,last_k,150,BERT,0.8095238095238095,0.7907203907203906,116,22,Success,4.5818564891815186,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,150,ACF,0.38095238095238093,0.3718820861678004,116,22,Success,7.097489833831787,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,OHE,0.6190476190476191,0.5457875457875458,116,22,Success,4.6524553298950195,10,log2,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,200,Bigram,0.6190476190476191,0.5578231292517007,116,22,Success,4.749413728713989,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,W2V,0.6190476190476191,0.548962148962149,116,22,Success,4.306087255477905,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,D2V,0.4090909090909091,0.33636363636363636,116,22,Success,4.527475118637085,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,BERT,0.7619047619047619,0.7238095238095238,116,22,Success,4.288143634796143,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,ACF,0.5714285714285714,0.5054421768707483,116,22,Success,8.614086627960205,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,OHE,0.6190476190476191,0.5503226931798361,116,22,Success,4.081761360168457,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,Bigram,0.5714285714285714,0.502267573696145,116,22,Success,4.38796591758728,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,W2V,0.6190476190476191,0.5353535353535354,116,22,Success,4.775186777114868,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,D2V,0.5,0.38223140495867775,116,22,Success,5.708284616470337,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,BERT,0.7619047619047619,0.7655122655122655,116,22,Success,4.678665637969971,20,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,ACF,0.6190476190476191,0.5639455782312925,116,22,Success,8.426191568374634,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,OHE,0.5714285714285714,0.528344671201814,116,22,Success,4.891148805618286,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,Bigram,0.3333333333333333,0.2632275132275132,116,22,Success,4.2845118045806885,20,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,200,W2V,0.6190476190476191,0.5603174603174603,116,22,Success,3.942704439163208,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,D2V,0.2727272727272727,0.1999818363454727,116,22,Success,4.199714422225952,20,log2,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,BERT,0.6666666666666666,0.6777777777777777,116,22,Success,4.446604490280151,10,log2,2,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,ACF,0.38095238095238093,0.34829931972789113,116,22,Success,7.273315191268921,10,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,OHE,0.5238095238095238,0.4910327767470624,116,22,Success,3.970745801925659,,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,Bigram,0.42857142857142855,0.40068027210884355,116,22,Success,4.050340414047241,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,200,W2V,0.6190476190476191,0.5385281385281385,116,22,Success,3.934176206588745,10,log2,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,200,D2V,0.18181818181818182,0.12672176308539945,116,22,Success,4.228789567947388,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,200,BERT,0.6190476190476191,0.6031746031746031,116,22,Success,4.6183764934539795,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,200,ACF,0.5238095238095238,0.4843537414965986,116,22,Success,6.726097822189331,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,OHE,0.8636363636363636,0.8409090909090909,113,22,Success,3.8839800357818604,20,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,Bigram,0.8181818181818182,0.8016528925619835,113,22,Success,4.080883026123047,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,W2V,0.8636363636363636,0.8409090909090909,113,22,Success,4.28595232963562,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,400,D2V,0.5909090909090909,0.553030303030303,113,22,Success,4.3763744831085205,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,BERT,0.8181818181818182,0.7954545454545454,113,22,Success,4.2956647872924805,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,ACF,0.5909090909090909,0.5151515151515151,113,22,Success,8.359446287155151,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,OHE,0.7727272727272727,0.6958874458874459,113,22,Success,3.91973876953125,10,log2,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,Bigram,0.6363636363636364,0.5530303030303031,113,22,Success,3.9361093044281006,10,sqrt,1,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,W2V,0.8636363636363636,0.8409090909090909,113,22,Success,3.966588020324707,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,400,D2V,0.4090909090909091,0.303030303030303,113,22,Success,4.2808897495269775,10,log2,2,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,BERT,0.7272727272727273,0.6666666666666667,113,22,Success,4.236226320266724,10,log2,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,ACF,0.7272727272727273,0.6698347107438016,113,22,Success,7.736992597579956,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,OHE,0.8181818181818182,0.7888626524990161,113,22,Success,4.010011672973633,20,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,400,Bigram,0.7272727272727273,0.6925619834710743,113,22,Success,4.008006811141968,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,400,W2V,0.8636363636363636,0.8409090909090909,113,22,Success,4.052477598190308,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,400,D2V,0.5,0.3945221445221445,113,22,Success,4.296106338500977,20,log2,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,BERT,0.7727272727272727,0.7520661157024794,113,22,Success,4.612663984298706,10,log2,2,5,200
datasets/BPI_Challenge_2017.xes,last_k,400,ACF,0.6363636363636364,0.5837995337995338,113,22,Success,7.651036977767944,10,sqrt,2,5,100
datasets/BPI_Challenge_2017.xes,last_k,400,OHE,0.7272727272727273,0.6749311294765841,113,22,Success,4.277696371078491,20,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,Bigram,0.5,0.38694638694638694,113,22,Success,4.121141672134399,20,sqrt,2,5,200
datasets/BPI_Challenge_2017.xes,last_k,400,W2V,0.8181818181818182,0.7899449035812672,113,22,Success,4.288333177566528,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,400,D2V,0.4090909090909091,0.32167832167832167,113,22,Success,4.429018497467041,10,sqrt,1,5,200
datasets/BPI_Challenge_2017.xes,last_k,400,BERT,0.6363636363636364,0.616161616161616,113,22,Success,4.434507369995117,10,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,400,ACF,0.4090909090909091,0.3183392365210547,113,22,Success,6.945956707000732,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,OHE,0.8,0.7558441558441558,110,21,Success,3.8189520835876465,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,Bigram,0.75,0.7058441558441558,110,21,Success,4.173224210739136,20,log2,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,W2V,0.8,0.7558441558441558,110,21,Success,4.441420316696167,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,D2V,0.7142857142857143,0.6476190476190476,110,21,Success,4.397247076034546,10,sqrt,1,2,200
datasets/BPI_Challenge_2017.xes,last_k,600,BERT,0.75,0.7185714285714286,110,21,Success,4.1221277713775635,10,sqrt,2,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,ACF,0.7,0.65,110,21,Success,7.5991973876953125,10,sqrt,1,2,100
datasets/BPI_Challenge_2017.xes,last_k,600,OHE,0.75,0.7185714285714286,110,21,Success,4.191499471664429,20,sqrt,1,5,200
