dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2017.xes,prefix,1500,Bigram,0.35294117647058826,0.3137254901960784,94,20,Success,29.911641836166382,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1500,W2V,0.6470588235294118,0.6666666666666666,94,20,Success,25.312891721725464,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,1500,D2V,0.35,0.2903896103896104,94,20,Success,30.88110876083374,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,1500,BERT,0.7647058823529411,0.7941176470588235,94,20,Success,36.73306941986084,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,1500,ACF,0.35294117647058826,0.30802139037433157,94,20,Success,480.2504861354828,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,Baseline,0.3333333333333333,0.2916666666666667,86,18,Success,44.612719774246216,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,OHE,0.16666666666666666,0.1818181818181818,86,18,Success,19.871027946472168,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,Bigram,0.2222222222222222,0.24025974025974023,86,18,Success,21.078731775283813,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,W2V,0.4444444444444444,0.46464646464646464,86,18,Success,18.786883115768433,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,D2V,0.16666666666666666,0.18518518518518517,86,18,Success,22.07002019882202,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,BERT,0.4444444444444444,0.4833333333333333,86,18,Success,23.611687660217285,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,prefix,2000,ACF,0.2222222222222222,0.21944444444444444,86,18,Success,301.9229121208191,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,150,Baseline,0.9047619047619048,0.9295815295815297,116,22,Success,25.69290280342102,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,150,OHE,0.5238095238095238,0.46237096237096237,116,22,Success,5.607352018356323,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,150,Bigram,0.42857142857142855,0.3619047619047619,116,22,Success,5.0663862228393555,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,150,W2V,0.9523809523809523,0.9555555555555554,116,22,Success,29.81805944442749,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,150,D2V,0.5,0.46428571428571436,116,22,Success,41.95560312271118,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,150,BERT,0.9523809523809523,0.9555555555555554,116,22,Success,37.809757709503174,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,150,ACF,0.8095238095238095,0.8174603174603173,116,22,Success,180.26072788238525,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,150,Baseline,0.8095238095238095,0.8603174603174603,116,22,Success,29.219643354415894,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,150,OHE,0.6190476190476191,0.5388421102706816,116,22,Success,6.019985198974609,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,150,Bigram,0.5238095238095238,0.40476190476190477,116,22,Success,5.70294713973999,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,150,W2V,0.9523809523809523,0.9555555555555554,116,22,Success,31.24871826171875,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,150,D2V,0.6818181818181818,0.6246753246753246,116,22,Success,40.452874183654785,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,150,BERT,0.9523809523809523,0.9555555555555554,116,22,Success,42.64320182800293,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,150,ACF,0.8571428571428571,0.814756671899529,116,22,Success,403.31166529655457,1.0,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last10,150,Baseline,0.9047619047619048,0.9211159211159211,116,22,Success,34.02393293380737,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,150,OHE,0.6190476190476191,0.5664811379097093,116,22,Success,7.584208011627197,1.0,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,150,Bigram,0.47619047619047616,0.47528344671201805,116,22,Success,22.670762062072754,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,150,W2V,0.9047619047619048,0.9295815295815297,116,22,Success,32.606226682662964,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,150,D2V,0.3181818181818182,0.30247933884297523,116,22,Success,44.40047097206116,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,150,BERT,0.8095238095238095,0.7962481962481961,116,22,Success,47.0571870803833,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,150,ACF,0.5714285714285714,0.5714285714285714,116,22,Success,479.39808893203735,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last20,150,Baseline,0.6666666666666666,0.6994708994708996,116,22,Success,34.65548634529114,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,150,OHE,0.6190476190476191,0.559678416821274,116,22,Success,6.807759523391724,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,150,Bigram,0.42857142857142855,0.46598639455782315,116,22,Success,27.260155200958252,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,150,W2V,0.9523809523809523,0.9555555555555554,116,22,Success,32.195332288742065,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,150,D2V,0.3181818181818182,0.30247933884297523,116,22,Success,41.48843765258789,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,150,BERT,0.8095238095238095,0.813179413179413,116,22,Success,46.39208936691284,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,150,ACF,0.42857142857142855,0.40362811791383213,116,22,Success,540.991046667099,0.8,0.1,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,200,Baseline,0.6666666666666666,0.6274170274170275,116,22,Success,19.10962152481079,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,200,OHE,0.38095238095238093,0.3137973137973138,116,22,Success,4.931470155715942,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,200,Bigram,0.2857142857142857,0.20618212197159566,116,22,Success,4.894522666931152,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,200,W2V,0.7142857142857143,0.7004329004329004,116,22,Success,24.141180992126465,1.0,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,200,D2V,0.36363636363636365,0.29506099960645416,116,22,Success,31.783133029937744,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,200,BERT,0.8095238095238095,0.8142857142857144,116,22,Success,31.57448148727417,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,200,ACF,0.5714285714285714,0.5054421768707483,116,22,Success,235.48037791252136,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,200,Baseline,0.8095238095238095,0.7566137566137565,116,22,Success,25.25506591796875,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,200,OHE,0.42857142857142855,0.3475434618291761,116,22,Success,5.885729789733887,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,200,Bigram,0.5238095238095238,0.43549783549783544,116,22,Success,5.484166145324707,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,200,W2V,0.7142857142857143,0.7004329004329004,116,22,Success,25.1778666973114,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last5,200,D2V,0.2727272727272727,0.21320346320346317,116,22,Success,31.46462321281433,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,200,BERT,0.7142857142857143,0.7269841269841271,116,22,Success,34.516650676727295,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,200,ACF,0.5714285714285714,0.4956709956709957,116,22,Success,326.18160581588745,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,200,Baseline,0.5714285714285714,0.5132275132275133,116,22,Success,28.44810461997986,1.0,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,200,OHE,0.38095238095238093,0.300453514739229,116,22,Success,6.264173984527588,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,200,Bigram,0.19047619047619047,0.13333333333333333,116,22,Success,19.632665872573853,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,200,W2V,0.7619047619047619,0.7224489795918367,116,22,Success,26.14574909210205,1.0,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,200,D2V,0.22727272727272727,0.1994949494949495,116,22,Success,33.94475173950195,0.8,0.05,-1,50,0.8
